"","V1","V2"
"1","BLITZER"," Governor Christie?"
"2","CHRISTIE"," Thank you Wolf.America has been betrayed. Weve been betrayed by the leadership that Barack Obama and Hilary Clinton have provided to this country over the last number of years. Think about just whats happened today. The second largest school district in America in Los Angeles closed based on a threat. Think about the effect that, thats going to have on those children when they go back to school tomorrow wondering filled with anxiety to whether theyre really going to be safe.Think about the mothers who will take those children tomorrow morning to the bus stop wondering whether their children will arrive back on that bus safe and sound. Think about the fathers of Los Angeles, who tomorrow will head off to work and wonder about the safety of their wives and their children.What is Barack Obama and Hillary Clinton done to this country? That the most basic responsibility of an administration is to protect the safety and security of the American people. I will tell you this, Im a former federal prosecutor, Ive fought terrorists and won and when we get back in the White House we will fight terrorists and win again and America will be safe. "
"3","BLITZER"," Ms. Fiorina?"
"4","FIORINA"," Like all of you Im angry. Im angry at whats happening to our nation. Citizens, its time to take our country back.Bombastic insults wont take it back. Political rhetoric that promises a lot and delivers little, wont take it back. All of our problems can be solved. All of our wounds can be healed by a tested leader who is willing to fight for the character of our nation.I have been tested. I have beaten breast cancer. I have buried a child. I started as a secretary. I fought my way to the top of corporate America while being called every B word in the book. I fought my way into this election and on to this debate stage while all the political insiders and the pundits told, ""it couldnt be done.I've been told, no, all my life. And all my life, Ive refused to accept no as an answer. Citizens, it is time to take our country back from the political class, from the media, from the liberal elite. It can be done, it must be done, join me and we will get it done. 
BLITZER: Governor Bush?
BUSH: Our freedom is under attack. Our economy is under water. The leading democrat is under investigation. And America is under the gun to lead the free world to protect our civilized way of life.Serious times require strong leadership, thats what at stake right now. Regarding national security, we need to restore the defense cuts of Barack Obama to rebuild our military, to destroy ISIS before it destroys us. Regarding economic security, we need to take power and money away from Washington D.C. and empower American families so that they can rise up again.Look, America still is an exceptional country. We love to lead and we love to win. And we do it, when we take on any challenge and when we take we support our friends.As president, I will keep you and our country safe, secure, and free.Thank you."
"5","BLITZER"," Senator Rubio?"
"6","RUBIO"," Thank you Wolf.Its really amazing to be back in Las Vegas. I spent six years as a child growing not far from where we stand tonight. I use to sit on the porch of our home and listen to my grandfather tell stories as he smoked one of three daily cigars.One of the things my grandfather instilled in me, was that I was really blessed because I was a citizen of the greatest country in the history of our mankind. But there have always been people in American politics that wanted America to be more like the rest of the world. And In 2008, one of them was elected president of this country and the result has been a disaster.Today you have millions of Americans that feel left out and out of place in their own country, struggling to live paycheck to paycheck, called bigots because they hold on to traditional values.And around the world, Americas influence has declined while this president has destroyed our military, our allies no longer trust us, and our adversaries no longer respect us. And that is why this election is so important.That is why Im running for president. And thats why Im going to ask you for your vote tonight. If you elect me president, we will have a president that believes America is the greatest country in the world and we will have a president that acts like it. 
BLITZER: Senator Cruz.
CRUZ: Thank you, Wolf.America is at war. Our enemy is not violent extremism. It is not some unnamed malevolent force. It is radical Islamic terrorist. We have a president who is unwilling to utter its name. The men and women on this stage, every one of us, is better prepared to keep this nation safe than is Barack Obama or Hillary Clinton.We need a president who understands the first obligation of the commander-in-chief is to keep America safe. If I am elected president, we will hunt down and kill the terrorists. We will utterly destroy ISIS.We will stop the terrorist attacks before they occur because we will not be prisoners to political correctness. Rather, we will speak the truth. Border security is national security and we will not be admitting jihadists as refugees.We will keep America safe. 
BLITZER: Dr. Carson.
CARSON: Thank you, Wolf.Please join me for a moment of silence and remembrance of the San Bernardino victims. Thank you. You know, our country since its inception has been at war, every 15 or 20 years. But the war that we are fighting now against radical Islamist jihadists is one that we must win. Our very existence is dependent upon that.You know, as a pediatric neurosurgeon, I frequently faced life and death situations, and had to come up with the right diagnosis, the right plan, and execute that plan frequently with other colleagues.Right now, the United States of America is the patient. And the patient is in critical condition and will not be cured by political correctness and will not be cured by timidity.And I am asking the Congress, which represents the people, to declare a war on ISIS so that we can begin the process of excising that cancer and begin the healing process, and bring peace, prosperity, and safety back to America. 
BLITZER: Mr. Trump.
TRUMP: Thank you.I began this journey six months ago. My total focus was on building up our military, building up our strength, building up our borders, making sure that China, Japan, Mexico, both at the border and in trade, no longer takes advantage of our country.Certainly would never have made that horrible, disgusting, absolutely incompetent deal with Iran where they get $150 billion. Theyre a terrorist nation. But I began it talking about other things.And those things are things that Im very good at and maybe thats why Im center stage. People saw it. People liked it. People respected it.A month ago things changed. Radical Islamic terrorism came into effect even more so than it has been in the past. People like what I say. People respect what I say. And weve opened up a very big discussion that needed to be opened up.Thank you very much. "
"7","BLITZER"," Thank you.Since you last debated, Americans have witnessed terror attacks in Paris and San Bernardino. The FBI director says the country now faces the greatest terror threat since 9/11. You all have different approaches to keeping the country safe. And that will be the focus of tonights debate.Mr. Trump, as you mentioned in your opening statement, part of your strategy is to focus in on Americas borders. To keep the country safe, you say you want to temporarily ban non-American Muslims from coming to the United States; ban refugees fleeing ISIS from coming here; deport 11 million people; and wall off Americas southern border. Is the best way to make America great again to isolate it from much of the rest of the world?
TRUMP: We are not talking about isolation. Were talking about security. Were not talking about religion. Were talking about security. Our country is out of control. People are pouring across the southern border. I will build a wall. It will be a great wall. People will not come in unless they come in legally. Drugs will not pour through that wall.As far as other people like in the migration, where theyre going, tens of thousands of people having cell phones with ISIS flags on them? I dont think so, Wolf. Theyre not coming to this country. And if Im president and if Obama has brought some to this country, they are leaving. Theyre going. Theyre gone. "
"8","BLITZER"," Governor Bush, you called Mr. Trump unhinged when he proposed banning non-American Muslims from the United States. Why is that unhinged?"
"9","BUSH"," Well, first of all, we need to destroy ISIS in the caliphate. Thats that should be our objective. The refugee issue will be solved if we destroy ISIS there, which means we need to have a no-fly zone, safe zones there for refugees and to build a military force.We need to embed our forces our troops inside the Iraqi military. We need to arm directly the Kurds. And all of that has to be done in concert with the Arab nations. And if were going to ban all Muslims, how are we going to get them to be part of a coalition to destroy ISIS?The Kurds are the greatest fighting force and our strongest allies. Theyre Muslim. Look, this is not a serious proposal. In fact, it will push the Muslim world, the Arab world away from us at a time when we need to reengage with them to be able to create a strategy to destroy ISIS.So Donald, you know, is great at at the one-liners, but hes a chaos candidate. And hed be a chaos president. He would not be the commander in chief we need to keep our country safe. 
BLITZER: Mr. Trump?
TRUMP: Jeb doesnt really believe Im unhinged. He said that very simply because he has failed in this campaign. Its been a total disaster. Nobody cares. And frankly, Im the most solid person up here. I built a tremendous company and all I want to do is make America great again.I dont want our country to be taken away from us, and thats whats happening. The policies that weve suffered under other presidents have been a disaster for our country. We want to make America great again. And Jeb, in all fairness, he doesnt believe that."
"10","BUSH"," Look, he mentioned me. I can bring I can talk. This is this is the problem. Banning all Muslims will make it harder for us to do exactly what we need to do, which is to destroy ISIS. We need a strategy. We need to get the lawyers off the back of the warfighters. Right now under President Obama, weve created this this standard that is so high that its impossible to be successful in fighting ISIS.We need to engage with the Arab world to make this happen. It is not a serious proposal to say that to the people that youre asking for their support that they cant even come to the country to even engage in a dialogue with us. Thats not a serious proposal. We need a serious leader to deal with this. And I believe Im that guy. "
"11","BLITZER"," Senator Rubio Im going to go to Senator Rubio and get his thoughts.You have said banning Muslims is unconstitutional. But according to a recent ABC News-Washington Post poll, a majority of Republicans support Mr. Trumps idea. Why are they wrong?"
